n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mean_icir,std_score
300,5,0.1,0.9,1.0,20.0,0.06834182500204883,0.21071624588269844
200,5,0.1,0.9,1.0,20.0,0.06810654666723376,0.21414049052685424
300,4,0.1,0.7,0.7,10.0,0.06703145882886774,0.26762750741538216
300,3,0.03,0.9,1.0,20.0,0.06639654010840516,0.22209297770622924
500,5,0.1,0.9,0.7,10.0,0.06575651975975,0.20815298608163663
500,4,0.03,0.9,1.0,20.0,0.06562921959582596,0.2395947839673341
200,4,0.1,0.9,1.0,10.0,0.06521052989481844,0.2897039233485028
500,3,0.05,0.9,0.7,10.0,0.06501820828596992,0.2029504631927812
500,5,0.1,0.7,0.7,20.0,0.06480401924820461,0.2537329629933316
500,4,0.1,0.9,1.0,10.0,0.06469057848015736,0.2621925039629726
300,3,0.03,0.7,1.0,20.0,0.06462478800137769,0.25596852300836265
200,4,0.05,0.7,0.7,20.0,0.06380860279066522,0.32741991945909665
500,5,0.1,0.9,0.7,5.0,0.06377128766689293,0.24046623774240958
500,4,0.05,0.7,0.7,5.0,0.06324417749108611,0.30181318179514527
200,5,0.1,0.7,0.7,10.0,0.06309355613544546,0.30056798693640707
200,3,0.05,0.9,1.0,20.0,0.06277717541502384,0.2560068866684341
500,3,0.05,0.9,1.0,20.0,0.061690870512687665,0.2424922676578867
300,4,0.1,0.9,1.0,10.0,0.06163043992425164,0.28119778911204835
200,3,0.03,0.7,1.0,20.0,0.06154316147436922,0.2462245167435821
300,4,0.05,0.9,0.7,10.0,0.061386514533793984,0.3105578866870026
500,4,0.1,0.7,0.7,10.0,0.06124140006870843,0.2652819496371198
500,4,0.05,0.9,0.7,10.0,0.06058273325439459,0.30475698130857837
500,5,0.1,0.9,1.0,20.0,0.060371802616250345,0.20810963268715257
300,3,0.05,0.9,0.7,10.0,0.05985155636419942,0.19391999883417696
300,5,0.1,0.7,0.7,10.0,0.059626392052140625,0.2834461186883715
300,3,0.05,0.9,1.0,20.0,0.05892238675206944,0.2507456721956422
500,3,0.03,0.7,1.0,20.0,0.05881413368102671,0.2625405087478516
300,3,0.05,0.9,0.7,20.0,0.05764489323114576,0.29704779589311614
