n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mean_icir,std_score
500,5,0.1,0.7,1.0,5.0,0.12086516995529403,0.21614072237818474
200,3,0.05,0.7,1.0,20.0,0.12064352048591984,0.28782705928004415
500,5,0.05,0.7,1.0,20.0,0.1201573952142573,0.277330488735134
200,5,0.05,0.7,1.0,10.0,0.12011230985772617,0.2745483387492895
200,5,0.05,0.7,0.7,5.0,0.11999743288748779,0.26741625905977795
300,3,0.1,0.9,0.7,10.0,0.11998615817595279,0.29719315668619584
300,5,0.03,0.9,1.0,20.0,0.11980060407738993,0.25233282390713596
500,3,0.03,0.9,1.0,10.0,0.11962109111742439,0.23543127708393638
300,5,0.05,0.7,1.0,10.0,0.11885019613563395,0.2735714839510347
500,3,0.05,0.9,1.0,10.0,0.11855716223613748,0.20913547163086305
200,4,0.03,0.7,0.7,10.0,0.11852605681506218,0.29389956692042396
500,3,0.1,0.9,0.7,10.0,0.11850052374129552,0.2964429941544917
300,5,0.05,0.7,0.7,5.0,0.11836815660873007,0.26562838337317995
500,5,0.05,0.7,0.7,5.0,0.1178951967856239,0.2635019418212153
500,3,0.03,0.7,1.0,5.0,0.11751857409831765,0.3097948994342538
200,5,0.03,0.9,1.0,20.0,0.11698195152448662,0.2513300537508664
500,5,0.05,0.7,1.0,10.0,0.11685369889449466,0.2764309444096986
500,5,0.03,0.9,1.0,20.0,0.11638365997462773,0.2447594842862864
500,4,0.05,0.7,1.0,20.0,0.11563862438642869,0.3029502099913427
200,3,0.05,0.7,1.0,10.0,0.11446574367534376,0.30585787137762865
300,3,0.05,0.7,1.0,20.0,0.11442680219695195,0.29074757450010574
300,5,0.05,0.9,0.7,5.0,0.1139295653865294,0.2470016739751066
300,3,0.05,0.7,0.7,5.0,0.11353696247764855,0.23089243803869663
300,4,0.1,0.7,0.7,5.0,0.11351425333820764,0.2432317232137034
300,4,0.03,0.9,0.7,5.0,0.11323123035516192,0.29140123893153685
